type;no;UFL;UEL;UEB;UFL_UEL;UFL_UEB
silage;FE0010;0.9;1.18;1.31;0.7627;0.687
silage;FE0020;0.81;1.26;1.45;0.6429;0.5586
silage;FE0050;0.84;1.23;1.41;0.6829;0.5957
silage;FE0080;0.89;1.17;1.27;0.7607;0.7008
silage;FE0100;0.89;1.09;1.16;0.8165;0.7672
silage;FE0110;0.8;1.17;1.3;0.6838;0.6154
silage;FE0130;0.83;1.15;1.26;0.7217;0.6587
silage;FE0150;0.88;1.08;1.13;0.8148;0.7788
silage;FE0490;0.85;1.06;1.09;0.8019;0.7798
silage;FE0500;0.75;1.15;1.26;0.6522;0.5952
silage;FE0530;0.79;1.12;1.21;0.7054;0.6529
silage;FE0560;0.84;1.06;1.08;0.7925;0.7778
silage;FE0580;0.82;1.07;1.11;0.7664;0.7387
silage;FE0590;0.73;1.16;1.29;0.6293;0.5659
silage;FE0600;0.65;1.21;1.4;0.5372;0.4643
silage;FE0630;0.76;1.14;1.24;0.6667;0.6129
silage;FE0660;0.82;1.06;1.1;0.7736;0.7455
silage;FE0680;0.92;1.15;1.24;0.8;0.7419
silage;FE0690;0.81;1.18;1.29;0.6864;0.6279
silage;FE0700;0.93;1.11;1.17;0.8378;0.7949
silage;FE0710;0.89;1.13;1.17;0.7876;0.7607
silage;FE0720;0.91;1.06;1.08;0.8585;0.8426
silage;FE0730;0.81;1.1;1.16;0.7364;0.6983
silage;FE0740;0.92;1.03;1.04;0.8932;0.8846
silage;FE0750;0.89;1.05;1.05;0.8476;0.8476
silage;FE0920;0.85;1.02;1.02;0.8333;0.8333
silage;FE0930;0.75;1.08;1.13;0.6944;0.6637
silage;FE0940;0.86;1.01;1;0.8515;0.86
silage;FE0950;0.83;1.03;1.01;0.8058;0.8218
silage;FE0960;0.82;1.03;1.03;0.7961;0.7961
silage;FE0970;0.73;1.1;1.16;0.6636;0.6293
silage;FE0980;0.63;1.18;1.32;0.5339;0.4773
silage;FE0990;0.84;1.02;1;0.8235;0.84
silage;FE1000;0.81;1.04;1.04;0.7788;0.7788
silage;FE1010;0.9;1.25;1.41;0.72;0.6383
silage;FE1020;0.74;1.31;1.56;0.5649;0.4744
silage;FE1030;0.9;1.14;1.22;0.7895;0.7377
silage;FE1040;0.73;1.21;1.37;0.6033;0.5328
silage;FE1130;0.83;1.07;1.11;0.7757;0.7477
silage;FE1140;0.68;1.16;1.29;0.5862;0.5271
silage;FE1150;0.83;1.07;1.11;0.7757;0.7477
silage;FE1160;0.76;1.1;1.16;0.6909;0.6552
silage;FE1170;0.68;1.17;1.32;0.5812;0.5152
silage;FE1180;0.93;1.18;1.29;0.7881;0.7209
silage;FE1190;0.9;1.19;1.3;0.7563;0.6923
silage;FE1210;0.81;1.21;1.35;0.6694;0.6
silage;FE1240;0.79;1.19;1.31;0.6639;0.6031
silage;FE1250;0.92;1.09;1.14;0.844;0.807
silage;FE1260;0.89;1.1;1.15;0.8091;0.7739
