id;type;name;name_de;delta_F1;delta_C1;delta_FR1_QIL;delta_S1_QIL;delta_S2_QIL;delta_H1_QIL;delta_H2_QIL;delta_FR1_QIB;delta_S1_QIB;delta_S2_QIB;delta_H1_QIB;delta_H2_QIB;eco;DM;ash;OM;OMD;CP;CPD;EE;EED;CF;CFD;NFE;NFED;NDF;starch;sugar
;;;;…;…;…;…;…;…;…;…;…;…;…;…;0/1;g kg-1 feed;g kg-1 DM;g kg-1 DM;kg kg-1;g kg-1 DM;kg kg-1;g kg-1 DM;kg kg-1;g kg-1 DM;kg kg-1;g kg-1 DM;kg kg-1;g kg-1 DM;g kg-1 DM;g kg-1 DM
1;fresh;Grassland, 1st growth, leafy stage;Grünland 4+ Nutzungen grasreich, 1. Aufwuchs, Schossen;82.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;160;95;905;0.84;235;0.82;43;0.61;172;0.81;455;0.88;467;0;45
2;fresh;Grassland, 1st growth, heading stage;Grünland, 4+ Nutzungen grasreich, 1. Aufwuchs, volles Rispenschieben;82.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;180;97;903;0.77;207;0.77;47;0.56;231;0.78;418;0.78;485;0;35
3;fresh;Grassland, 1st growth, beginning of bloom;Grünland, 4+ Nutzungen, 1. Aufwuchs, Beginn Blüte;82.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;220;93;907;0.75;187;0.77;45;0.51;261;0.75;414;0.76;540;0;25
4;fresh;Grassland, regrowth, <4 weeks;Grünland, 4+ Nutzungen, 2.  Aufwuchs < 4 Wochen;82.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;160;104;896;0.75;235;0.79;45;0.42;207;0.74;409;0.76;499;0;71
5;fresh;Grassland, regrowth, 4-6 weeks;Grünland, 4+ Nutzungen, 2. Aufwuchs, 4-6 Wochen;82.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;180;103;897;0.73;213;0.77;45;0.47;229;0.73;410;0.72;485;0;61
6;fresh;Grassland, regrowth, 7-9 weeks;Grünland, 4+ Nutzungen, 2. Aufwuchs, 7-9 Wochen;82.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;200;101;899;0.71;190;0.74;41;0.53;266;0.72;402;0.71;530;0;50
7;fresh;Lucerne, 1st growth, budding stage;Luzerne, 1. Schnitt, in der Knospe;82.00;0.00;1.00;0.00;0.00;0.00;0.00;4.10;0.00;0.00;0.00;0.00;1;170;106;894;0.70;219;0.82;31;0.41;238;0.55;406;0.75;449;0;15
8;fresh;Lucerne, 1st growth, beginning of bloom;Luzerne, 1. Schnitt, Beginn Blüte;82.00;0.00;1.00;0.00;0.00;0.00;0.00;4.10;0.00;0.00;0.00;0.00;1;200;106;894;0.68;187;0.80;29;0.40;286;0.53;392;0.75;487;0;25
9;fresh;Lucerne, regrowth, budding stage;Luzerne, Folgeaufwuchs, in der Knospe;82.00;0.00;1.00;0.00;0.00;0.00;0.00;4.10;0.00;0.00;0.00;0.00;1;180;97;903;0.70;214;0.80;34;0.43;247;0.51;408;0.78;449;0;40
10;fresh;Lucerne, regrowth, beginning of bloom;Luzerne, Folgeaufwuchs, Beginn Blüte;82.00;0.00;1.00;0.00;0.00;0.00;0.00;4.10;0.00;0.00;0.00;0.00;1;210;95;905;0.67;204;0.80;31;0.38;281;0.49;389;0.73;487;0;35
11;fresh;Rye, whole plant, full ear emergence;Roggen, volles Ährenschieben;-11.00;0.00;-3.70;0.00;0.00;0.00;0.00;-1.60;0.00;0.00;0.00;0.00;1;170;88;912;0.77;147;0.76;35;0.69;288;0.79;442;0.76;597;0;124
12;fresh;Rye, dough stage, 33% grains;Roggen, in der Teigreife, Körneranteil 33 %;-11.00;0.00;-3.70;0.00;0.00;0.00;0.00;-1.60;0.00;0.00;0.00;0.00;1;300;75;925;0.72;109;0.68;29;0.67;328;0.75;459;0.71;630;0;73
13;fresh;Grass-clover, 1st growth, budding stage;Rotklee-Gras-Gemenge, 1. Aufwuchs, in der Knospe;-11.00;0.00;1.00;0.00;0.00;0.00;0.00;4.10;0.00;0.00;0.00;0.00;1;170;102;898;0.75;178;0.74;32;0.60;223;0.71;465;0.79;447;0;30
14;fresh;Grass-clover, 1st growth, beginning of bloom;Rotklee-Gras-Gemenge, 1. Aufwuchs, Beginn Blüte;-11.00;0.00;1.00;0.00;0.00;0.00;0.00;4.10;0.00;0.00;0.00;0.00;1;200;97;903;0.72;155;0.66;30;0.45;259;0.69;459;0.76;476;0;35
15;fresh;Grass-clover, 1st growth, end of bloom;Rotklee-Gras-Gemenge, 1. Aufwuchs, verblüht;-11.00;0.00;1.00;0.00;0.00;0.00;0.00;4.10;0.00;0.00;0.00;0.00;1;200;84;916;0.61;115;0.65;30;0.66;333;0.53;438;0.66;508;0;41
16;fresh;Grass-clover, regrowth, budding stage;Rotklee-Gras-Gemenge, 2. Aufwuchs, in der Knospe;-11.00;0.00;1.00;0.00;0.00;0.00;0.00;4.10;0.00;0.00;0.00;0.00;1;210;105;895;0.72;191;0.72;34;0.60;223;0.69;447;0.74;429;0;40
17;fresh;Grass-clover, regrowth, beginning of bloom;Rotklee-Gras-Gemenge, 2. Aufwuchs, Beginn Blüte;-11.00;0.00;1.00;0.00;0.00;0.00;0.00;4.10;0.00;0.00;0.00;0.00;1;240;105;895;0.67;172;0.67;29;0.64;258;0.59;436;0.72;476;0;45
18;freshmaize;Maize, fresh whole plant, milk stage, 25-35% cobs;Mais, frische Ganzpflanze, Milchreife, 25-35 % Kolbenanteil;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;210;55;945;0.75;90;0.64;21;0.75;223;0.66;611;0.80;496;120;137
19;grasssilage;Grass silage, 1st cut of 4 or more, heading stage;Grassilage, 4+ Nutzungen, grasreich, 1. Schnitt, Beginn Rispenschieben;0.00;0.00;0.00;-1.40;1.60;0.00;0.00;0.00;-1.90;1.90;0.00;0.00;1;350;111;889;0.79;184;0.80;42;0.55;214;0.80;449;0.79;412;0;41
20;grasssilage;Grass silage, 1st cut of 4 or more, full ear emergence;Grassilage, 4+ Nutzungen, grasreich, 1. Schnitt, volles Rispenschieben;0.00;0.00;0.00;-1.40;1.60;0.00;0.00;0.00;-1.90;1.90;0.00;0.00;1;350;106;894;0.71;167;0.67;41;0.68;247;0.74;439;0.71;476;0;41
21;grasssilage;Grass silage, 1st cut of 4 or more, beginning of bloom;Grassilage, 4+ Nutzungen, grasreich, 1. Schnitt, Beginn Blüte;0.00;0.00;0.00;-1.40;1.60;0.00;0.00;0.00;-1.90;1.90;0.00;0.00;1;350;109;891;0.74;155;0.73;38;0.77;276;0.78;422;0.71;549;0;41
